uuid,date,time,IP,6,7,8,location,log_class,type,radio,vap,client_mac,client_ip,client_ip6,identity,aid
fb6cce4b-860c-411e-bf27-67264ea4aec0,7/13/2023,12:10:33,172.17.10.37,16,6,1689250233,Boulder,events,8021x_eap_success,'1','4','1c:c1:0c:57:55:2b','0.0.0.0',,michael.willems,'1320058954'
309ea07b-2b4e-41ca-a503-43b8995c3717,7/13/2023,12:18:26,172.17.10.41,16,6,1689250706,Boulder,events,8021x_eap_success,'1','4','f8:4d:89:6a:a8:ef','0.0.0.0',,atecza,'973682277'
ab25f8dc-f84b-40ff-855e-14feac1bb830,7/13/2023,12:37:08,172.17.10.38,16,6,1689251829,Boulder,events,8021x_eap_success,'1','4','3c:06:30:44:c1:67','172.16.11.21',,cbrown,'805211608'
0c9129ea-9cb2-49c9-82fe-bf2cc83ec57c,7/13/2023,12:47:36,172.17.30.33,16,6,1689252457,Basalt,events,8021x_eap_success,'1','0','fc:e2:6c:0c:7d:11','0.0.0.0',,eyoung,'1151454016'
21ee11c3-a7f4-42dd-8b61-ded9148b7a9b,7/13/2023,13:30:55,172.17.10.33,16,6,1689255055,Boulder,events,8021x_eap_success,'1','4','28:df:eb:b7:92:ce','0.0.0.0',,nyavorsky,'1517036805'
17eabf56-ae2e-4926-8660-060b917a7d72,7/13/2023,14:15:30,172.17.10.37,16,6,1689257731,Boulder,events,8021x_eap_success,'1','4','1e:26:b1:08:24:96','0.0.0.0',,tlutz,'1372109221'
284f12b0-c8c8-436c-87fb-7fd8bfb08ae1,7/13/2023,14:15:58,172.17.10.37,16,6,1689257758,Boulder,events,8021x_eap_success,'1','4','1a:44:20:8c:05:b5','0.0.0.0',,tevin.hamilton,'2120790749'
9993e885-d6da-4fed-84f4-aea44764601b,7/13/2023,14:22:48,172.17.10.31,16,6,1689258168,Boulder,events,8021x_eap_success,'1','4','a8:8f:d9:48:b1:13','0.0.0.0',,kmulvaney,'1345538502'
c4a937a7-8e8a-4023-a46d-c512fc712c8c,7/13/2023,14:26:00,172.17.10.37,16,6,1689258360,Boulder,events,8021x_eap_success,'1','4','8c:f8:c5:9d:01:70','0.0.0.0',,cnading,'1188504484'
0a9b09ae-fbc6-46f7-b9b7-0842a0491e1c,7/13/2023,14:26:09,172.17.10.31,16,6,1689258369,Boulder,events,8021x_eap_success,'1','4','a0:78:17:83:76:f8','0.0.0.0',,sflandrick,'1654789157'
56dc98ee-eb8b-4e22-b443-36fc0a973439,7/13/2023,14:30:33,172.17.10.30,16,6,1689258634,Boulder,events,8021x_eap_success,'1','4','4c:1d:96:b3:c6:d0','0.0.0.0',,etaylor,'340783765'
78aa8c1e-6a93-4bf2-8531-32b9a8621432,7/13/2023,14:30:56,172.17.10.37,16,6,1689258656,Boulder,events,8021x_eap_success,'1','4','80:65:7c:f1:fe:74','0.0.0.0',,mdyson,'1178118450'
556b91b1-0045-4ffa-bdca-41e7a516d680,7/13/2023,14:31:54,172.17.10.35,16,6,1689258715,Boulder,events,8021x_eap_success,'1','4','a0:29:42:ae:6a:af','0.0.0.0',,belle.ucherkemur,'794823885'
31fa696a-a500-48af-a59c-7f443ce89c96,7/13/2023,14:36:04,172.17.10.41,16,6,1689258964,Boulder,events,8021x_eap_success,'1','4','80:65:7c:dd:ab:02','0.0.0.0',,jcorvidae,'720729555'
b25e823e-1fe3-436e-b07f-e67e5061f611,7/13/2023,14:36:12,172.17.30.31,16,6,1689258973,Basalt,events,8021x_eap_success,'1','0','3c:06:30:43:14:fd','0.0.0.0',,bprovo.contractor,'853346198'
40cd7fa6-4d5e-4f4c-8aee-8fa9d1573d58,7/13/2023,14:46:40,172.17.10.32,16,6,1689259600,Boulder,events,8021x_eap_success,'1','4','3c:06:30:42:22:50','0.0.0.0',,bbendix,'1737456038'
bec23e8e-b20a-498f-abd1-0c016e6b8a53,7/13/2023,14:46:45,172.17.30.37,16,6,1689259605,Basalt,events,8021x_eap_success,'1','0','bc:d0:74:ec:54:98','0.0.0.0',,jamie.holmstrom,'1199807100'
1242c63e-2ec6-4ac3-abb3-f37f3916fcd9,7/13/2023,14:52:57,172.17.10.41,16,6,1689259977,Boulder,events,8021x_eap_success,'1','4','14:7d:da:bf:2f:66','0.0.0.0',,gwilson,'1091676554'
5cc9ceb1-6379-4f6d-aedb-1a11b2a5f8e8,7/13/2023,14:53:01,172.17.10.35,16,6,1689259981,Boulder,events,8021x_eap_success,'1','4','ac:c9:06:2d:5d:dd','0.0.0.0',,moana.mcclellan,'78495235'
a525a6e1-75dc-4896-95e2-e49e77c3b9d9,7/13/2023,14:55:56,172.17.10.35,16,6,1689260156,Boulder,events,8021x_eap_success,'1','4','ac:c9:06:2d:87:54','0.0.0.0',,megan.dearden,'693525500'
3d10b1a3-1b77-4277-abef-506e68d713d8,7/13/2023,14:57:15,172.17.10.40,16,6,1689260235,Boulder,events,8021x_eap_success,'1','4','00:d4:9e:34:5b:75','0.0.0.0',,alex.walmsley,'981335176'
b6262c58-7dc0-4c6a-9e94-c76bb1a03216,7/13/2023,14:57:37,172.17.30.40,16,6,1689260257,Basalt,events,8021x_eap_success,'1','0','1c:91:80:ba:41:52','0.0.0.0',,lstone,'576112387'
1dfff6a6-af1d-4845-bcdd-9984a76d7dc0,7/13/2023,14:57:56,172.17.30.41,16,6,1689260276,Basalt,events,8021x_eap_success,'1','0','3c:a6:f6:49:65:d9','0.0.0.0',,nleonard,'7843853'
e3aeeefa-2cd6-43e4-86d8-459d18c7d178,7/13/2023,14:58:00,172.17.30.38,16,6,1689260280,Basalt,events,8021x_eap_success,'1','0','1c:91:80:b9:bf:e7','0.0.0.0',,lforman,'21935239'
2b509fac-7b7f-4166-9bfd-cc759bdd53a6,7/13/2023,15:03:49,172.17.10.37,16,6,1689260629,Boulder,events,8021x_eap_success,'1','4','b4:fa:48:de:9e:3b','0.0.0.0',,rcleveland,'556423284'
297fad6c-fbb7-486d-940b-98cd0a26792a,7/13/2023,15:23:10,172.17.10.41,16,6,1689261790,Boulder,events,8021x_eap_success,'1','4','80:65:7c:df:d3:f5','0.0.0.0',,kstephan,'1119457848'
